16 06 2017,  0.00,  10.98
17 06 2017,  0.00,  12.04
18 06 2017,  0.00,  14.97
19 06 2017,  0.00,  19.18
20 06 2017,  0.00,  7.56
21 06 2017,  0.00,  12.28
22 06 2017,  0.14 ,  9.89
23 06 2017,  0.00,  8.15
24 06 2017,  0.00,  11.46
25 06 2017,  0.97 ,  10.40
26 06 2017,  0.00,  16.76
27 06 2017,  0.00,  13.58
28 06 2017,  0.00,  14.48
29 06 2017,  0.00,  14.48
30 06 2017,  0.00,  15.86
01 07 2017,  0.00,  15.48
02 07 2017,  0.00,  17.43
03 07 2017,  0.00,  13.23
04 07 2017,  0.00,  19.37
05 07 2017,  42.27 ,  21.57
06 07 2017,  0.00,  13.03
07 07 2017,  0.00,  20.65
08 07 2017,  0.00,  8.46
09 07 2017,  0.00,  11.18
10 07 2017,  0.00,  14.87
11 07 2017,  0.00,  19.76
12 07 2017,  0.00,  18.07
13 07 2017,  0.00,  16.35
14 07 2017,  0.00,  12.66
15 07 2017,  0.00,  18.00
16 07 2017,  0.00,  23.24
17 07 2017,  11.71 ,  10.04
18 07 2017,  0.00,  12.34
19 07 2017,  0.00,  12.19
22 07 2017,  0.00,  2.80
23 07 2017,  0.00,  21.25
25 07 2017,  0.00,  12.66
26 07 2017,  0.00,  17.37
27 07 2017,  11.62 ,  11.32
28 07 2017,  0.27 ,  13.23
29 07 2017,  0.00,  14.77
30 07 2017,  0.00,  16.83
31 07 2017,  8.83 ,  20.08
01 08 2017,  0.00,  10.50
02 08 2017,  0.81 ,  11.96
03 08 2017,  0.00,  8.82
04 08 2017,  0.00,  15.23
05 08 2017,  0.00,  27.52
06 08 2017,  0.00,  21.83
07 08 2017,  0.00,  20.80
08 08 2017,  0.00,  12.41
09 08 2017,  0.00,  21.55
10 08 2017,  0.00,  10.41
11 08 2017,  0.00,  27.47
12 08 2017,  0.00,  29.14
13 08 2017,  0.00,  28.36
14 08 2017,  0.00,  22.20
15 08 2017,  0.00,  26.88
16 08 2017,  0.00,  22.56
17 08 2017,  1.27 ,  22.93
18 08 2017,  0.00,  9.33
19 08 2017,  0.00,  22.70
20 08 2017,  0.00,  22.98
21 08 2017,  0.00,  6.99
22 08 2017,  0.00,  10.24
23 08 2017,  0.00,  17.26
24 08 2017,  0.00,  12.96
25 08 2017,  0.00,  20.97
26 08 2017,  0.00,  30.58
27 08 2017,  0.00,  23.33
28 08 2017,  0.00,  11.09
29 08 2017,  0.00,  8.20
30 08 2017,  0.00,  14.05
31 08 2017,  0.00,  18.37
01 09 2017,  0.00,  26.80
02 09 2017,  0.00,  7.49
03 09 2017,  0.00,  7.01
04 09 2017,  0.00,  7.25
05 09 2017,  0.00,  11.51
06 09 2017,  0.00,  10.55
07 09 2017,  0.00,  14.54
08 09 2017,  0.00,  28.16
09 09 2017,  0.00,  10.78
10 09 2017,  0.00,  6.14
11 09 2017,  0.00,  15.25
12 09 2017,  0.00,  4.43
13 09 2017,  0.00,  7.27
14 09 2017,  0.00,  8.63
15 09 2017,  0.00,  10.62
16 09 2017,  0.00,  13.45
17 09 2017,  0.00,  11.24
18 09 2017,  0.00,  13.92
19 09 2017,  0.00,  13.50
20 09 2017,  1.44 ,  11.61
21 09 2017,  0.00,  8.15
22 09 2017,  1.95 ,  8.32
23 09 2017,  0.00,  5.51
24 09 2017,  0.00,  5.53
25 09 2017,  4.20,  9.72
26 09 2017,  0.00,  14.04
27 09 2017,  0.00,  15.65
28 09 2017,  0.88 ,  5.96
29 09 2017,  0.00,  6.50
30 09 2017,  0.00,  4.63
01 10 2017,  0.00,  9.21
04 10 2017,  0.74 ,  5.70
05 10 2017,  0.08 ,  8.24
06 10 2017,  0.00,  4.67
07 10 2017,  0.00,  6.19
08 10 2017,  0.00,  7.97
09 10 2017,  0.00,  6.38
10 10 2017,  0.00,  5.45
11 10 2017,  0.00,  6.07
12 10 2017,  0.00,  5.70
13 10 2017,  0.00,  7.34
14 10 2017,  0.00,  3.13
15 10 2017,  0.00,  3.11
16 10 2017,  0.00,  3.86
17 10 2017,  0.00,  4.20
18 10 2017,  0.00,  7.25
19 10 2017,  0.00,  5.53
20 10 2017,  0.00,  6.53
21 10 2017,  0.00,  11.40
22 10 2017,  0.00,  11.67
24 10 2017,  0.00,  4.36
25 10 2017,  0.00,  3.80
26 10 2017,  0.00,  4.67
27 10 2017,  0.00,  3.18
28 10 2017,  0.00,  2.21
29 10 2017,  0.00,  4.65
31 10 2017,  0.00,  2.15
01 11 2017,  0.00,  2.03
02 11 2017,  0.00,  2.35
03 11 2017,  0.00,  3.05
04 11 2017,  0.00,  3.87
05 11 2017,  0.00,  4.93
06 11 2017,  0.00,  2.09
07 11 2017,  0.00,  1.75
09 11 2017,  0.00,  1.33
10 11 2017,  0.00,  2.61
11 11 2017,  0.00,  2.68
12 11 2017,  0.00,  4.08
13 11 2017,  0.00,  2.76
14 11 2017,  0.00,  1.83
15 11 2017,  0.00,  2.08
16 11 2017,  0.19 ,  2.67
17 11 2017,  0.00,  4.34
18 11 2017,  0.00,  5.18
19 11 2017,  0.00,  5.61
20 11 2017,  0.00,  6.03
24 11 2017,  0.00,  4.46
25 11 2017,  0.00,  3.72
26 11 2017,  0.00,  3.47
27 11 2017,  0.00,  3.50
28 11 2017,  0.00,  3.91
29 11 2017,  0.00,  3.77
30 11 2017,  0.00,  2.92
01 12 2017,  0.00,  3.34
02 12 2017,  0.00,  3.40
03 12 2017,  0.00,  2.88
05 12 2017,  0.00,  2.96
06 12 2017,  0.00,  3.85
07 12 2017,  0.00,  2.39
08 12 2017,  0.00,  1.63
09 12 2017,  0.00,  2.11
10 12 2017,  0.00,  1.44
12 12 2017,  0.00,  2.57
13 12 2017,  0.00,  1.66
14 12 2017,  0.00,  1.93
15 12 2017,  0.00,  1.61
16 12 2017,  0.00,  1.94
17 12 2017,  0.00,  2.84
22 12 2017,  0.00,  1.60
23 12 2017,  0.00,  1.21
24 12 2017,  0.00,  1.81
26 12 2017,  0.00,  1.51
27 12 2017,  0.00,  1.61
28 12 2017,  0.00,  1.25
29 12 2017,  0.00,  1.52
30 12 2017,  0.00,  1.59
31 12 2017,  0.00,  2.55
