 12Z 05 03 2017,  0.00,  1.28
 00Z 06 03 2017,  0.00,  1.46
 12Z 06 03 2017,  0.00,  1.95
 00Z 07 03 2017,  0.00,  1.80
 12Z 07 03 2017,  0.00,  1.91
 00Z 08 03 2017,  0.00,  1.37
 12Z 09 03 2017,  0.00,  0.72
 00Z 10 03 2017,  0.00,  1.54
 12Z 10 03 2017,  0.00,  1.59
 00Z 11 03 2017,  0.00,  1.80
 12Z 11 03 2017,  0.00,  2.41
 00Z 12 03 2017,  0.00,  2.50
 12Z 12 03 2017,  0.00,  2.99
 00Z 13 03 2017,  0.00,  2.14
 12Z 13 03 2017,  0.00,  2.16
 00Z 14 03 2017,  0.00,  1.84
 12Z 14 03 2017,  0.00,  1.69
 00Z 15 03 2017,  0.00,  7.28
 12Z 15 03 2017,  0.00,  2.87
 00Z 16 03 2017,  0.00,  3.15
 12Z 16 03 2017,  0.00,  8.15
 00Z 17 03 2017,  0.00,  3.39
 12Z 17 03 2017,  0.00,  1.63
 00Z 18 03 2017,  0.00,  1.34
 12Z 18 03 2017,  0.00,  1.84
 00Z 19 03 2017,  0.00,  2.30
 12Z 19 03 2017,  0.00,  3.24
 00Z 20 03 2017,  0.00,  1.06
 12Z 20 03 2017,  0.00,  0.85
 00Z 21 03 2017,  0.00,  1.76
 12Z 21 03 2017,  0.00,  1.93
 00Z 22 03 2017,  0.00,  0.90
 12Z 22 03 2017,  0.00,  1.89
 00Z 23 03 2017,  0.00,  3.20
 12Z 23 03 2017,  0.00,  0.99
 00Z 24 03 2017,  0.00,  1.39
 00Z 25 03 2017,  0.00,  2.12
 12Z 25 03 2017,  0.00,  2.43
 00Z 26 03 2017,  0.00,  4.59
 12Z 26 03 2017,  0.00,  3.15
 00Z 27 03 2017,  0.00,  2.94
 12Z 27 03 2017,  0.00,  4.11
 00Z 28 03 2017,  0.00,  3.86
 12Z 28 03 2017,  0.00,  6.31
 00Z 29 03 2017,  0.00,  6.79
 12Z 29 03 2017,  0.00,  6.85
 00Z 30 03 2017,  0.00,  7.10
 12Z 30 03 2017,  0.00,  6.20
 00Z 31 03 2017,  0.00,  2.61
 12Z 31 03 2017,  0.00,  1.28
 00Z 01 04 2017,  0.00,  3.64
 12Z 01 04 2017,  0.00,  5.81
 00Z 02 04 2017,  0.00,  7.04
 12Z 02 04 2017,  0.00,  9.07
 00Z 03 04 2017,  0.00,  9.47
 12Z 03 04 2017,  0.00,  7.01
 00Z 04 04 2017,  0.00,  3.60
 12Z 04 04 2017,  0.00,  7.16
